language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,eventDate,country,countryCode,locality,decimalLatitude,decimalLongitude,geodeticDatum,occurrenceID,recordedBy,establishmentMeans,degreeOfEstablishment,scientificName,vernacularName,occurrenceRemarks
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.22315979,16.36730385,WGS84,44380,AlienCSI bioblitz,,,Acer negundo,box elder,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-21,Austria,ISO-3166:,,48.16812815,16.34338483,WGS84,43292,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.22122955,16.36777878,WGS84,44358,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.22122955,16.36777878,WGS84,44360,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.22122955,16.36777878,WGS84,44361,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.22122955,16.36777878,WGS84,44362,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.22122955,16.36777878,WGS84,44365,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.22122955,16.36777878,WGS84,44367,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.221241,16.36784172,WGS84,44369,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.221241,16.36784172,WGS84,44371,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.22257233,16.36744118,WGS84,44373,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.22266769,16.3673954,WGS84,44375,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,,HumanObservation,Alien species occurrences across Europe: Data collected during a pan-European Bioblitz,2022-05-22,Austria,ISO-3166:,,48.22309875,16.36742973,WGS84,44382,AlienCSI bioblitz,,,Ailanthus altissima,Götterbaum,source: inaturalist
