id,origin,obs_date,sps_comm,sps,reg_id,taxon,author,lon,lat,region_long,region,status (native/alien/IAS),comments
44380,inaturalist,2022-05-22,box elder,Acer negundo,41,Plantae,isadoraisadorable,16.36730385,48.22315979,Austria,Austria,,
43292,inaturalist,2022-05-21,Götterbaum,Ailanthus altissima,41,Plantae,hederahelix,16.34338483,48.16812815,Austria,Austria,,
44358,inaturalist,2022-05-22,Götterbaum,Ailanthus altissima,41,Plantae,isadoraisadorable,16.36777878,48.22122955,Austria,Austria,,
44360,inaturalist,2022-05-22,Götterbaum,Ailanthus altissima,41,Plantae,isadoraisadorable,16.36777878,48.22122955,Austria,Austria,,
44361,inaturalist,2022-05-22,Götterbaum,Ailanthus altissima,41,Plantae,isadoraisadorable,16.36777878,48.22122955,Austria,Austria,,
44362,inaturalist,2022-05-22,Götterbaum,Ailanthus altissima,41,Plantae,isadoraisadorable,16.36777878,48.22122955,Austria,Austria,,
44365,inaturalist,2022-05-22,Götterbaum,Ailanthus altissima,41,Plantae,isadoraisadorable,16.36777878,48.22122955,Austria,Austria,,
44367,inaturalist,2022-05-22,Götterbaum,Ailanthus altissima,41,Plantae,isadoraisadorable,16.36777878,48.22122955,Austria,Austria,,
44369,inaturalist,2022-05-22,Götterbaum,Ailanthus altissima,41,Plantae,isadoraisadorable,16.36784172,48.221241,Austria,Austria,,
44371,inaturalist,2022-05-22,Götterbaum,Ailanthus altissima,41,Plantae,isadoraisadorable,16.36784172,48.221241,Austria,Austria,,
44373,inaturalist,2022-05-22,Götterbaum,Ailanthus altissima,41,Plantae,isadoraisadorable,16.36744118,48.22257233,Austria,Austria,,
44375,inaturalist,2022-05-22,Götterbaum,Ailanthus altissima,41,Plantae,isadoraisadorable,16.3673954,48.22266769,Austria,Austria,,
44382,inaturalist,2022-05-22,Götterbaum,Ailanthus altissima,41,Plantae,isadoraisadorable,16.36742973,48.22309875,Austria,Austria,,
44383,inaturalist,2022-05-22,Götterbaum,Ailanthus altissima,41,Plantae,isadoraisadorable,16.36726379,48.22331238,Austria,Austria,,
44388,inaturalist,2022-05-22,Götterbaum,Ailanthus altissima,41,Plantae,isadoraisadorable,16.36055374,48.22720337,Austria,Austria,,
44392,inaturalist,2022-05-22,Götterbaum,Ailanthus altissima,41,Plantae,isadoraisadorable,16.36055374,48.22720337,Austria,Austria,,
44484,inaturalist,2022-05-22,Götterbaum,Ailanthus altissima,41,Plantae,isadoraisadorable,16.36306953,48.22037125,Austria,Austria,,
44085,inaturalist,2022-05-22,Götterbaum,Ailanthus altissima,41,Plantae,wario512,16.34597585,48.20867679,Austria,Austria,,
44356,inaturalist,2022-05-22,Götterbaum,Ailanthus altissima,41,Plantae,isadoraisadorable,16.36777878,48.22122955,Austria,Austria,,
44481,inaturalist,2022-05-22,tree-of-heaven,Ailanthus altissima,41,Plantae,isadoraisadorable,16.36306572,48.22038651,Austria,Austria,,
